Samples,Runs,Time,Silverman,RVKDE,ERVKDE,Abramson
1600,10,105.064,1.265559668876389e-05,2.830117615202841e-05,1.1436901617474428e-05,2.762575089536309e-05
3200,10,304.483,8.085017928489258e-06,2.477353041239274e-05,7.032016417487741e-06,1.3156267186999914e-05
6400,10,1000.965,4.656962131876487e-06,2.585347228006572e-05,4.082943318921685e-06,7.0974344734371275e-06
12800,10,3615.178,2.9657947854865837e-06,2.444878474949071e-05,2.5801137342783314e-06,3.5262771008340377e-06
